"","response_uuid","Age","Trial","Usable frames (%)","person_good"
"243","500df8d0-a283-43bd-b60b-dd291f0484b0","12","2",0.853333333333333,0.3984375
"244","500df8d0-a283-43bd-b60b-dd291f0484b0","12","3",0.973154362416107,0.455172413793103
"245","500df8d0-a283-43bd-b60b-dd291f0484b0","12","4",0.926666666666667,0.741007194244604
"246","500df8d0-a283-43bd-b60b-dd291f0484b0","12","5",0.776315789473684,0.830508474576271
"247","500df8d0-a283-43bd-b60b-dd291f0484b0","12","6",0.940397350993378,0.450704225352113
"248","500df8d0-a283-43bd-b60b-dd291f0484b0","12","7",0.80794701986755,0.770491803278688
"249","500df8d0-a283-43bd-b60b-dd291f0484b0","12","8",0.76510067114094,0.219298245614035
"250","500df8d0-a283-43bd-b60b-dd291f0484b0","12","9",0.842105263157895,0.703125
"251","500df8d0-a283-43bd-b60b-dd291f0484b0","12","10",0.633879781420765,0.689655172413793
"252","541b92ea-6a83-4026-b6ff-72575cba1785","12","4",0.706666666666667,0.179245283018868
"253","541b92ea-6a83-4026-b6ff-72575cba1785","12","6",0.947019867549669,0.482517482517482
"254","541b92ea-6a83-4026-b6ff-72575cba1785","12","7",0.675496688741722,0.441176470588235
"255","541b92ea-6a83-4026-b6ff-72575cba1785","12","8",0.832214765100671,0.604838709677419
"256","541b92ea-6a83-4026-b6ff-72575cba1785","12","10",0.650273224043716,0.117647058823529
"257","542a740b-12ca-43b1-96a0-6b2c2142d327","6","1",0.966666666666667,0.917241379310345
"258","542a740b-12ca-43b1-96a0-6b2c2142d327","6","2",0.98,0.17687074829932
"259","542a740b-12ca-43b1-96a0-6b2c2142d327","6","3",0.973154362416107,0.468965517241379
"260","542a740b-12ca-43b1-96a0-6b2c2142d327","6","4",0.886666666666667,0.443609022556391
"261","542a740b-12ca-43b1-96a0-6b2c2142d327","6","5",0.480263157894737,0.876712328767123
"262","542a740b-12ca-43b1-96a0-6b2c2142d327","6","6",0.90728476821192,0.591240875912409
"263","542a740b-12ca-43b1-96a0-6b2c2142d327","6","7",0.973509933774834,0.850340136054422
"264","542a740b-12ca-43b1-96a0-6b2c2142d327","6","8",0.758389261744966,0.309734513274336
"265","542a740b-12ca-43b1-96a0-6b2c2142d327","6","9",0.572368421052632,0.770114942528736
"266","542a740b-12ca-43b1-96a0-6b2c2142d327","6","10",0.666666666666667,0.540983606557377
"267","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","1",0.946666666666667,0.746478873239437
"268","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","2",0.933333333333333,0.678571428571429
"269","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","3",0.973154362416107,0.848275862068966
"270","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","4",0.953333333333333,0.699300699300699
"271","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","5",0.953947368421053,0.806896551724138
"272","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","6",0.860927152317881,0.884615384615385
"273","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","7",0.947019867549669,0.664335664335664
"274","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","8",0.899328859060403,0.671641791044776
"275","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","9",0.572368421052632,0.379310344827586
"276","5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","10",0.382513661202186,0.957142857142857
"277","5864ecf2-7993-4712-9177-f4feeab105ea","12","1",0.973333333333333,0.808219178082192
"278","5864ecf2-7993-4712-9177-f4feeab105ea","12","2",0.84,0.5
"279","5864ecf2-7993-4712-9177-f4feeab105ea","12","3",0.973154362416107,0.296551724137931
"280","5864ecf2-7993-4712-9177-f4feeab105ea","12","4",0.953333333333333,0.223776223776224
