"response_uuid","Age","Trial Total","target_prop","Stimulus type"
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6",5,0.8485,"Social"
"ad5bf6d6-7ae2-4b4d-b102-d8406e77c167","6",6,0.8,"Social"
"ae4de261-f5e7-4282-817b-71d298e6ccec","12",1,0.4895,"Non-social"
"ae4de261-f5e7-4282-817b-71d298e6ccec","12",2,0.546,"Non-social"
"ae4de261-f5e7-4282-817b-71d298e6ccec","12",3,0.581,"Non-social"
"ae4de261-f5e7-4282-817b-71d298e6ccec","12",4,0.677,"Non-social"
"ae4de261-f5e7-4282-817b-71d298e6ccec","12",5,0.5,"Social"
"ae4de261-f5e7-4282-817b-71d298e6ccec","12",6,0.545,"Social"
"af5f2baa-7fed-41c3-83f8-c0c53f202782","6",1,0.274,"Non-social"
"af5f2baa-7fed-41c3-83f8-c0c53f202782","6",2,0.711,"Non-social"
"af5f2baa-7fed-41c3-83f8-c0c53f202782","6",5,0.7485,"Social"
"af5f2baa-7fed-41c3-83f8-c0c53f202782","6",6,0.579,"Social"
"b3281ac1-0414-4b63-884a-00770a2c0498","6",1,0.415,"Non-social"
"b3281ac1-0414-4b63-884a-00770a2c0498","6",2,0.701,"Non-social"
"b3281ac1-0414-4b63-884a-00770a2c0498","6",3,0.531,"Non-social"
"b3281ac1-0414-4b63-884a-00770a2c0498","6",4,0.5065,"Non-social"
"b3281ac1-0414-4b63-884a-00770a2c0498","6",5,0.3975,"Social"
"b75d59f9-2eb2-464a-872c-c8191db86003","12",1,0.4905,"Non-social"
"b75d59f9-2eb2-464a-872c-c8191db86003","12",2,0.791,"Non-social"
"b75d59f9-2eb2-464a-872c-c8191db86003","12",3,0.734,"Non-social"
"b75d59f9-2eb2-464a-872c-c8191db86003","12",4,0.448,"Non-social"
"b75d59f9-2eb2-464a-872c-c8191db86003","12",5,0.859,"Social"
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6",1,0.718,"Non-social"
"b9679102-1cee-4edb-9cd4-00f0aba34ed2","6",2,0.6585,"Non-social"
